сode;region
385;Республика Адыгея
649;Республика Алтай
450;Республика Башкортостан
451;Республика Башкортостан
452;Республика Башкортостан
453;Республика Башкортостан
360;Республика Бурятия
361;Республика Бурятия
367;Республика Дагестан
368;Республика Дагестан
386;Республика Ингушетия
360;Кабардино-Балкарская Республика
361;Кабардино-Балкарская Республика
358;Республика Калмыкия
359;Республика Калмыкия
369;Карачаево-Черкесская Республика
185;Республика Карелия
186;Республика Карелия
167;Республика Коми
168;Республика Коми
169;Республика Коми
295;Республика Крым
296;Республика Крым
297;Республика Крым
298;Республика Крым
424;Республика Марий Эл
425;Республика Марий Эл
430;Республика Мордовия
431;Республика Мордовия
677;Республика Саха (Якутия)
678;Республика Саха (Якутия)
362;Республика Северная Осетия — Алания
363;Республика Северная Осетия — Алания
420;Республика Татарстан
421;Республика Татарстан
422;Республика Татарстан
423;Республика Татарстан
667;Республика Тыва
668;Республика Тыва
426;Удмуртская Республика
427;Удмуртская Республика
655;Республика Хакасия
364;Чеченская Республика
365;Чеченская Республика
366;Чеченская Республика
428;Чувашская Республика
429;Чувашская Республика
656;Алтайский край
657;Алтайский край
658;Алтайский край
659;Алтайский край
672;Забайкальский край
673;Забайкальский край
674;Забайкальский край
687;Забайкальский край
683;Камчатский край
684;Камчатский край
688;Камчатский край
350;Краснодарский край
351;Краснодарский край
352;Краснодарский край
353;Краснодарский край
354;Краснодарский край
660;Красноярский край
661;Красноярский край
662;Красноярский край
663;Красноярский край
647;Красноярский край
648;Красноярский край
614;Пермский край
615;Пермский край
616;Пермский край
617;Пермский край
618;Пермский край
619;Пермский край
690;Приморский край
691;Приморский край
692;Приморский край
355;Ставропольский край
356;Ставропольский край
357;Ставропольский край
680;Хабаровский край
681;Хабаровский край
682;Хабаровский край
675;Амурская область
676;Амурская область
163;Архангельская область
164;Архангельская область
165;Архангельская область
414;Астраханская область
415;Астраханская область
416;Астраханская область
308;Белгородская область
309;Белгородская область
241;Брянская область
242;Брянская область
243;Брянская область
600;Владимирская область
601;Владимирская область
602;Владимирская область
400;Волгоградская область
401;Волгоградская область
402;Волгоградская область
403;Волгоградская область
404;Волгоградская область
160;Вологодская область
161;Вологодская область
162;Вологодская область
394;Воронежская область
395;Воронежская область
396;Воронежская область
397;Воронежская область
153;Ивановская область
154;Ивановская область
155;Ивановская область
664;Иркутская область
665;Иркутская область
666;Иркутская область
667;Иркутская область
668;Иркутская область
669;Иркутская область
236;Калининградская область
237;Калининградская область
238;Калининградская область
248;Калужская область
249;Калужская область
650;Кемеровская область
651;Кемеровская область
652;Кемеровская область
653;Кемеровская область
654;Кемеровская область
610;Кировская область
611;Кировская область
612;Кировская область
613;Кировская область
156;Костромская область
157;Костромская область
640;Курганская область
641;Курганская область
305;Курская область
306;Курская область
307;Курская область
187;Ленинградская область
188;Ленинградская область
398;Липецкая область
399;Липецкая область
685;Магаданская область
686;Магаданская область
140;Московская область
141;Московская область
142;Московская область
143;Московская область
144;Московская область
183;Мурманская область
184;Мурманская область
603;Нижегородская область
607;Нижегородская область
606;Нижегородская область
173;Новгородская область
174;Новгородская область
175;Новгородская область
630;Новосибирская область
631;Новосибирская область
632;Новосибирская область
633;Новосибирская область
644;Омская область
645;Омская область
646;Омская область
460;Оренбургская область
461;Оренбургская область
462;Оренбургская область
302;Орловская область
303;Орловская область
440;Пензенская область
441;Пензенская область
442;Пензенская область
180;Псковская область
181;Псковская область
182;Псковская область
344;Ростовская область
345;Ростовская область
346;Ростовская область
347;Ростовская область
390;Рязанская область
391;Рязанская область
443;Самарская область
444;Самарская область
445;Самарская область
446;Самарская область
410;Саратовская область
411;Саратовская область
412;Саратовская область
413;Саратовская область
693;Сахалинская область
694;Сахалинская область
620;Свердловская область
621;Свердловская область
622;Свердловская область
623;Свердловская область
624;Свердловская область
214;Смоленская область
215;Смоленская область
216;Смоленская область
392;Тамбовская область
393;Тамбовская область
634;Томская область
635;Томская область
636;Томская область
300;Тульская область
301;Тульская область
625;Тюменская область
626;Тюменская область
627;Тюменская область
432;Ульяновская область
433;Ульяновская область
454;Челябинская область
455;Челябинская область
456;Челябинская область
457;Челябинская область
150;Ярославская область
151;Ярославская область
152;Ярославская область
101;Москва
102;Москва
103;Москва
104;Москва
105;Москва
106;Москва
107;Москва
108;Москва
109;Москва
110;Москва
111;Москва
112;Москва
113;Москва
114;Москва
115;Москва
116;Москва
117;Москва
118;Москва
119;Москва
120;Москва
121;Москва
122;Москва
123;Москва
124;Москва
125;Москва
126;Москва
127;Москва
128;Москва
129;Москва
130;Москва
131;Москва
132;Москва
133;Москва
134;Москва
135;Москва
190;Санкт-Петербург
191;Санкт-Петербург
192;Санкт-Петербург
193;Санкт-Петербург
194;Санкт-Петербург
195;Санкт-Петербург
196;Санкт-Петербург
197;Санкт-Петербург
198;Санкт-Петербург
199;Санкт-Петербург
299;Севастополь
679;Еврейская автономная область
166;Ханты-Мансийский автономный округ - Югра
689;Чукотский автономный округ
629;Ямало-Ненецкий автономный округ
